username,full_name,followers,following,posts,url,scraped_at
itumdk,İTÜ Mezunları Derneği Öğrenci Kulübü,13000,19,2061,https://instagram.com/itumdk/,2026-01-17 22:59:49.638327
itusinemakulubu,İTÜ Sinema Kulübü,6588,194,361,https://instagram.com/itusinemakulubu/,2026-01-17 22:59:55.388796
itugonulluluk,İTÜ Gönüllülük Kulübü,4489,14,347,https://instagram.com/itugonulluluk/,2026-01-17 23:00:00.317231
